127.0.0.1, 2019-06-17 02:38:50, GET, /admin/default/ticket/BankSystem/127.0.0.1.2019-06-17.02-38-45.d1feabc1-a808-4cee-aed6-5cf79d12043f, HTTP/1.1, 200, 1.363998
127.0.0.1, 2019-06-17 02:38:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:41:04, GET, /BankSystem/default/contacts, HTTP/1.1, 500, 5.304000
127.0.0.1, 2019-06-17 02:41:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:41:06, GET, /admin/default/ticket/BankSystem/127.0.0.1.2019-06-17.02-40-59.c06f47f6-1d2d-46e9-8934-0edbec5dd73d, HTTP/1.1, 200, 0.143999
127.0.0.1, 2019-06-17 02:41:08, GET, /favicon.ico, HTTP/1.1, 400, 0.003995
127.0.0.1, 2019-06-17 02:41:43, GET, /BankSystem/default/contacts, HTTP/1.1, 500, 0.144008
127.0.0.1, 2019-06-17 02:41:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:41:45, GET, /admin/default/ticket/BankSystem/127.0.0.1.2019-06-17.02-41-43.b41dfe8b-49aa-4675-bf6d-4d3c19653f22, HTTP/1.1, 200, 0.196010
127.0.0.1, 2019-06-17 02:41:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:47:34, GET, /BankSystem/default/contacts, HTTP/1.1, 500, 0.200019
127.0.0.1, 2019-06-17 02:47:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:47:36, GET, /admin/default/ticket/BankSystem/127.0.0.1.2019-06-17.02-47-34.41a848e0-01fb-4a03-8496-eea5196b0795, HTTP/1.1, 303, 0.027999
127.0.0.1, 2019-06-17 02:47:36, GET, /admin/default/index, HTTP/1.1, 200, 0.219994
127.0.0.1, 2019-06-17 02:47:37, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.003998
127.0.0.1, 2019-06-17 02:47:37, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-06-17 02:47:37, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-06-17 02:47:37, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003989
127.0.0.1, 2019-06-17 02:47:37, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-06-17 02:47:37, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.003990
127.0.0.1, 2019-06-17 02:47:37, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.003997
 200, 0.004000
127.0.0.1, 2019-06-17 02:47:37, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.007998
127.0.0.1, 2019-06-17 02:47:37, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-06-17 02:47:37, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-06-17 02:47:37, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-06-17 02:47:37, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-06-17 02:47:37, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-06-17 02:47:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:47:40, POST, /admin/default/index, HTTP/1.1, 303, 0.048035
127.0.0.1, 2019-06-17 02:47:40, GET, /admin/default/ticket/BankSystem/127.0.0.1.2019-06-17.02-47-34.41a848e0-01fb-4a03-8496-eea5196b0795, HTTP/1.1, 200, 0.080002
127.0.0.1, 2019-06-17 02:47:40, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-06-17 02:47:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:50:05, GET, /BankSystem/default/contacts, HTTP/1.1, 200, 1.603958
127.0.0.1, 2019-06-17 02:50:05, GET, /BankSystem/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004014
127.0.0.1, 2019-06-17 02:50:05, GET, /BankSystem/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004001
127.0.0.1, 2019-06-17 02:50:05, GET, /BankSystem/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.007990
127.0.0.1, 2019-06-17 02:50:05, GET, /BankSystem/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-06-17 02:50:05, GET, /BankSystem/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-06-17 02:50:05, GET, /BankSystem/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-06-17 02:50:05, GET, /BankSystem/static/js/web2py.js, HTTP/1.1, 200, 0.004005
127.0.0.1, 2019-06-17 02:50:05, GET, /BankSystem/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.003999
127.0.0.1, 2019-06-17 02:50:05, GET, /BankSystem/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.004001
127.0.0.1, 2019-06-17 02:50:06, GET, /BankSystem/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-06-17 02:50:33, GET, /BankSystem/default/contacts, HTTP/1.1, 200, 0.168013
127.0.0.1, 2019-06-17 02:51:30, GET, /BankSystem/default/contacts, HTTP/1.1, 200, 0.112005
127.0.0.1, 2019-06-17 02:51:51, GET, /BankSystem/default/contacts, HTTP/1.1, 500, 0.144001
127.0.0.1, 2019-06-17 02:51:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:51:53, GET, /admin/default/ticket/BankSystem/127.0.0.1.2019-06-17.02-51-51.4f282691-4a63-418b-aac6-cf04eef8e495, HTTP/1.1, 200, 0.199993
127.0.0.1, 2019-06-17 02:51:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:57:53, GET, /BankSystem/default/contacts, HTTP/1.1, 500, 0.111837
127.0.0.1, 2019-06-17 02:57:53, GET, /favicon.ico, HTTP/1.1, 400, 0.004002
127.0.0.1, 2019-06-17 02:57:58, GET, /admin/default/ticket/BankSystem/127.0.0.1.2019-06-17.02-57-53.f4812cee-fe48-4a41-9042-24a6135ddafa, HTTP/1.1, 200, 0.195998
127.0.0.1, 2019-06-17 02:57:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 02:58:18, GET, /admin/default/logout, HTTP/1.1, 303, 0.119866
127.0.0.1, 2019-06-17 02:58:18, GET, /admin/default/index, HTTP/1.1, 200, 0.040009
127.0.0.1, 2019-06-17 02:58:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-06-17 03:00:07, POST, /admin/default/index, HTTP/1.1, 303, 0.047841
127.0.0.1, 2019-06-17 03:00:07, GET, /admin/default/site, HTTP/1.1, 200, 0.148040
127.0.0.1, 2019-06-17 03:00:07, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-06-17 03:00:07, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.004007
127.0.0.1, 2019-06-17 03:00:08, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000000
